well_sample,temp_measured,pH,Na ,K,Ca,Mg,Cl,SO4
Aulnay_1,72,6.2,8046.5,132.9,1082.0,352.5,14534.5,941.5
Beauvais,47,6.29,7586.7,121.2,822.0,389.0,13471.0,547.6
Cergy,56,7.2824,4368.1,78.2,481.0,167.7,7799.0,355.5
Clichy,71,6.37,6207.3,93.8,802.0,218.8,10564.1,739.7
Creil_6,58,6.26,8736.2,129.0,1202.0,333.0,15385.3,960.7
Epernay,58,6.49,2643.9,54.7,321.0,104.5,4502.2,345.9
Evry,72,6.53,3448.5,54.7,301.0,72.9,5140.3,1220.1
Fnebleau,74,6.7,1793.2,35.2,148.0,55.9,2481.5,634.1
Garges,60,7.2824,8276.4,125.1,1202.0,376.8,15952.5,941.5
Incarville,29,7.7,689.7,13.7,28.0,14.6,531.8,355.5
LaCourneuve,58,7.2824,6897.0,105.6,802.0,325.8,12762.0,653.3
Meaux_1,81,7.2824,9196.0,152.5,1643.0,437.6,17016.0,1114.4
Melun_83,73,6.2,3908.3,68.4,569.0,145.9,7090.0,941.5
Melun_84,73,6.2,4253.2,68.4,581.0,150.7,7125.5,701.3
Orly,76,6.3,5287.7,82.1,782.0,248.0,9394.3,816.6
NN,73,6.51,3218.6,52.8,281.0,68.1,4856.7,1162.4
Sevran,65,6.32,6207.3,101.7,762.0,255.3,11237.7,643.7
Tremblay,74,6.21,7126.9,105.6,962.0,284.4,13648.3,1008.7
Villenueve,57,6.3,8506.3,117.3,922.0,340.3,14180.0,672.5
Villette_1,57,6.45,5287.7,86.0,681.0,204.2,9571.5,672.5
Villette_2,55,6.37,5287.7,78.2,721.0,199.3,9571.5,682.1
4,255,7.47,123.6,21.7,42.0,0.001,15.4,56.6
5,218,7.34,123.8,18.9,1.21,0.002,23.3,40.1
6,248,7.35,126.4,22.2,0.32,0.001,24.4,35.1
7,251,7.02,115.6,21.4,0.27,0.002,19.2,43.8
8,241,7.3,119.8,20.9,0.62,0.001,21.4,34.4
9,254,7.25,113.4,21.2,0.37,0.0006,17.9,36.5
Svartsengi-4,239,5.86,6279.0,973.0,950.0,6.0,12070.0,34.0
Reykjanes-8,283,5.47,9629.0,1409.0,1551.0,1.0,18785.0,21.2
K-21,260,8.71,142.8,19.9,1.2,0.0073,57.1,69.2
K-14,290,8.78,157.3,20.7,1.2,0.0049,35.5,45.2
K-20,290,7.46,214.3,43.8,0.8,0.0486,113.1,8.6
K-12,290,6.98,135.4,26.2,2.4,0.0389,34.7,74.9
K-13,230,8.6,279.6,31.3,6.0,0.0049,15.2,448.6
K-28,240,9.75,222.1,25.8,4.0,0.0024,17.4,287.2
K-15,265,8.99,206.2,38.3,1.6,0.0049,24.5,198.9
K-30,300,6.84,139.3,34.0,0.8,0.0,49.6,45.2
N-12,300,7.63,111.7,16.8,0.4,0.0024,41.5,14.4
N-11,320,8.35,100.5,15.6,0.4,0.0024,28.7,20.2
N-4,280,9.59,164.1,19.9,4.4,0.0024,30.8,47.1
K-21,260,8.88,143.0,19.2,0.4,0.0049,74.8,134.5
