well_sample,temp_measured,pH,Na ,K,Ca,Mg,Cl,SO4
Villenueve,57,"6,30","8506,3","117,3","922,0","340,3","14180,0","672,5"
Villette_1,57,"6,45","5287,7","86,0","681,0","204,2","9571,5","672,5"
Villette_2,55,"6,37","5287,7","78,2","721,0","199,3","9571,5","682,1"
4,255,"7,47","123,6","21,7",42,"0,001","15,4","56,6"
5,218,"7,34","123,8","18,9","1,21","0,002","23,3","40,1"
6,248,"7,35","126,4","22,2","0,32","0,001","24,4","35,1"
7,251,"7,02","115,6","21,4","0,27","0,002","19,2","43,8"
8,241,"7,30","119,8","20,9","0,62","0,001","21,4","34,4"
9,254,"7,25","113,4","21,2","0,37","0,0006","17,9","36,5"
Svartsengi-4,239,"5,86",6279,973,950,6,12070,34
Reykjanes-8,283,"5,47",9629,1409,1551,1,18785,"21,2"
K-21,260,"8,71","142,8","19,9","1,2","0,0073","57,1","69,2"
K-14,290,"8,78","157,3","20,7","1,2","0,0049","35,5","45,2"
K-20,290,"7,46","214,3","43,8","0,8","0,0486","113,1","8,6"
K-12,290,"6,98","135,4","26,2","2,4","0,0389","34,7","74,9"
K-13,230,"8,60","279,6","31,3","6,0","0,0049","15,2","448,6"
K-28,240,"9,75","222,1","25,8","4,0","0,0024","17,4","287,2"
K-15,265,"8,99","206,2","38,3","1,6","0,0049","24,5","198,9"
K-30,300,"6,84","139,3","34,0","0,8","0,0000","49,6","45,2"
N-12,300,"7,63","111,7","16,8","0,4","0,0024","41,5","14,4"
N-11,320,"8,35","100,5","15,6","0,4","0,0024","28,7","20,2"
N-4,280,"9,59","164,1","19,9","4,4","0,0024","30,8","47,1"
K-21,260,"8,88","143,0","19,2","0,4","0,0049","74,8","134,5"
K-20,290,"7,55","205,5","43,0","0,8","0,0073","155,3","74,0"
K-17,280,"8,89","112,4","20,3","0,0","0,0024","16,7","92,2"
K-5,215,"9,67","195,2","18,0","4,4","0,0097","28,4","261,3"
K-11,240,"9,65","223,0","31,3","2,0","0,0024","42,2","224,8"
K-13,230,"8,16","273,8","30,1","5,2","0,0024","22,0","524,5"
K-24,190,"9,73","217,9","17,2","3,6","0,0049","30,5","316,1"
K-27,240,"9,34","159,8","25,8","2,0","0,0049","26,6","201,7"
K-28,240,"9,55","226,7","25,4","3,6","0,0024","25,5","343,9"
K-9,215,"9,42","221,6","26,2","3,2","0,0024","23,4","307,4"
N-4,280,"9,60","158,6","19,9","3,6","0,0000","40,1","137,4"
Reykjanes_W-15,260,"5,20","9903,0","1314,0",1548,"1,05",20534,"24,3"
Tongonan_W-510,251,"6,30","5105,0","994,0",285,"0,14",9074,"20,5"
Momtombo_W-3,248,"8,10","1764,0","277,0","68,4","0,2",3026,"137,6"
Zunil_W-3,292,"8,10","860,0","175,4","10,8","0,19",1377,27
Mahanagdong_W-9,278,"3,10","3117,0","950,0",82,25,6175,508
Wairakei_W-24,248,"7,70","1256,0","200,0","26,7","0,02",2183,"34,2"
Broadlas_W-28,284,"8,10","910,0","155,0","1,3","0,01",1414,30
Olkaria_W-2,251,"9,10","557,0","92,0","0,73","0,01",764,28
Olkaria_W-301,262,"8,70","1283,0","208,0","0,6","0,07",240,112
Krafla_W-20,280,"7,50","214,4","43,8","0,8","0,049","113,1","8,6"
Námafjall_W-11,260,"8,40","100,5","15,6","0,4","0,002","28,7","20,2"
Klausturhólar_1,103,"6,63","185,4","13,1","24,2","5,65","107,7","83,1"
Árbaer_1,86,"9,51","62,6","1,62","1,54","0,042",24,"28,2"
Selfoss_9,70,"8,54","159,6","4,58","30,3","0,15","246,7","53,5"
Reykir_17,76,"9,57",34,"0,74","2,34","0,079","14,2","12,7"
Reykir_5,81,"9,42","42,1","1,08","2,08","0,06","10,5","17,1"
Reykjavik_30,100,"9,63","41,6","1,71","2,03","0,075","18,4","23,3"
Reykjavic_11,129,"9,44","57,1","2,6","2,56","0,024","36,4","19,4"
