name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,ammonia,lithium,silica,TDS,δ18O-H2O,δD-H2O,T_reservoir
Laguna La Quinta,Thermal spring,Laguna La Quinta,Q1,"53,0","7,0","909,0","6250,0","1240,0","302,0","55,0","4400,0","310,0","1,1","7,0","1240,0","13500,0","-43,0","-6,6","196,0"
El Idolo (P7),Thermal spring,El Palmar,P7,"51,0","7,1","1110,0","553,0","1080,0","141,0","33,0","1030,0","73,0","0,1","3,2","87,0","3580,0","-44,0","-7,5","177,0"
El Idolo (P8),Thermal spring,El Palmar,P8,"49,0","7,2","1120,0","563,0","1060,0","141,0","33,0","1030,0","58,0","0,1","3,2","86,0","3560,0","-44,0","-7,2","165,0"
El Idolo (P9),Thermal spring,El Palmar,P9,"48,0","7,1","1110,0","572,0","1090,0","141,0","33,0","1030,0","63,0","0,1","3,3","84,0","3610,0","-42,0","-7,4","168,0"
Fuente Roja (P3),Thermal spring,El Palmar,P3,"42,0","6,7","6,7","458,0","939,0","135,0","34,0","860,0","55,0","0,0","2,6","72,0","3060,0","-43,0","-7,4","169,0"
Fuente Verde (P5),Thermal spring,El Palmar,P5,"45,0","7,1","7,1","563,0","1020,0","135,0","32,0","1000,0","58,0","0,0","3,2","90,0","3450,0","-44,0","-7,4","166,0"
Fuente Verde (P6),Thermal spring,El Palmar,P6,"45,0","7,2","7,2","553,0","1010,0","135,0","32,0","1000,0","53,0","0,0","3,2","85,0","3430,0","-45,0","-7,5","162,0"
Baños Troncoso,Thermal spring,Laguna El Maule,TR,"32,2","7,7","9,2","181,0","1482,0","589,3","0,8","128,0","2,5",n.d.,"483,0","28,0",n.d.,n.d.,n.d.,"192,0"
Baños Campanario,Bubbling pool,Laguna El Maule,CA,"52,6","6,0","501,3","10691,0","621,0","1809,0","80,1","5125,0","330,0",n.d.,"7023,0","76,0",n.d.,n.d.,n.d.,"120,0"
Cajón Grande,Thermal spring,Laguna El Maule,CG,"53,1","6,4","354,7","14114,0","1598,0","695,0","120,0","10250,0","156,0",n.d.,"1449,0","110,0",n.d.,"-108,9","-14,7","120,0"
Guanaco,Thermal spring,Laguna El Maule,GU,"29,2","6,8","263,1","3216,0","2288,0","578,0","73,9","2700,0","47,0",n.d.,"826,0","23,3",n.d.,"-112,8","-15,4","120,0"
Planchón Peteroa,Thermal spring,Planchón Peteroa,17,"24,0","7,0","564,4","8389,9","1177,2","767,9","25,0","3698,0","728,7","11,0","3,2","32,1",n.d.,"-13,3","-96,8","293,0"
Planchón Peteroa,Thermal spring,Planchón Peteroa,36,"54,5","6,8","518,0","11950,5","628,7","1818,0","98,3","5391,0","328,3","0,0","6,7","71,5","8880,0","-13,6","-100,6","195,6"
Planchón Peteroa,Thermal spring,Planchón Peteroa,39,"33,7","9,4","5,5","53,1","151,5","29,8","0,0","57,3","1,3","1,5","0,1","30,0","320,0","-9,0","-58,6","136,9"
El Tatio (Chile),Thermal spring,El Tatio,227,"85,0","7,4","45,0","8220,0","38,0","280,0",n.d.,"4600,0","520,0",n.d.,"47,0","256,0",n.d.,"-5,5","-69,0","227,0"
El Tatio (Chile),Thermal spring,El Tatio,241,"85,0","7,4","44,0","7870,0","26,0","278,0",n.d.,"4320,0","525,0",n.d.,"45,0","280,0",n.d.,"-5,7","-68,0","231,0"
El Tatio (Chile),Thermal spring,El Tatio,224,"85,0","7,2","54,0","6890,0","35,0","244,0",n.d.,"3860,0","445,0",n.d.,"40,0","207,0",n.d.,"-6,0","-68,0","226,0"
El Tatio (Chile),Thermal spring,El Tatio,195,"86,0","7,7","68,0","6280,0","29,0","239,0",n.d.,"3440,0","360,0",n.d.,"34,0","125,0",n.d.,"-6,0","-66,0","218,0"
El Tatio (Chile),Thermal spring,El Tatio,146,"86,0","7,7","74,0","6190,0","35,0","249,0",n.d.,"3500,0","306,0",n.d.,"35,0","126,0",n.d.,"-6,0","-65,0","206,0"
El Tatio (Chile),Thermal spring,El Tatio,96,"86,0","7,3","46,0","5840,0","46,0","248,0",n.d.,"3460,0","170,0",n.d.,"32,0","180,0",n.d.,"-6,2","-66,0","174,0"
El Tatio (Chile),Thermal spring,El Tatio,202,"86,0","7,3","71,0","5630,0","37,0","218,0",n.d.,"3140,0","336,0",n.d.,"33,0","137,0",n.d.,"-6,2","-65,0","218,0"
El Tatio (Chile),Thermal spring,El Tatio,112,"86,0","7,6","69,0","5560,0","35,0","236,0",n.d.,"3200,0","235,0",n.d.,"30,0","130,0",n.d.,"-6,1","-68,0","195,0"
