name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,ammonia,lithium,silica,TDS,δ18O-H2O,δD-H2O,T_reservoir
El Tatio (Chile),Bubbling pool,El Tatio,4,"74,4","7,1",n.d.,"7810,0","43,1","231,0","0,2","4404,0","542,0",n.d.,"34,0","188,0","13241,0","-4,9","-69,9","237,0"
El Tatio (Chile),Geyser,El Tatio,5,"73,4","7,3",n.d.,"7899,0","42,9","227,0","0,8","4345,0","519,0",n.d.,"32,6","205,0","13270,0","-5,0","-71,8","235,0"
El Tatio (Chile),Geyser,El Tatio,6,"74,8","7,0",n.d.,"7891,0","42,5","242,0","0,6","4459,0","595,0",n.d.,"32,5","198,0","13462,0","-4,6","-71,2","245,0"
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP01,"95,4","7,2","179,0","430,0","77,2","2,1","0,1","396,0","27,5",n.d.,"1542,2","392,2",n.d.,"-7,4","-64,6","262,0"
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP03,"95,4","8,3","101,9","416,7","75,8","1,9","0,1","423,5","27,5",n.d.,"1401,6","412,7",n.d.,"-7,6","-67,1","256,3"
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP05,"95,4","7,8","99,2","395,2","87,5","2,7","0,1","390,5","23,2",n.d.,"1561,5","369,3",n.d.,"-6,5","-61,5","248,6"
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP07,"95,4","8,6","110,1","385,2","385,2","1,4","0,1","372,0","23,2",n.d.,"1485,9","372,9",n.d.,"-7,4","-62,9","252,6"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT01,"87,7","5,6","228,0","2700,0","135,0","34,0","2,5","1600,0","197,0","1,6","13,0","146,0",n.d.,"-10,2","-95,2","249,5"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT02,"87,2","6,2","186,0","2675,0","140,0","30,0","1,5","1575,0","197,0","1,5","13,0","140,0",n.d.,"-10,2","-96,5","250,8"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT03,"77,6","6,3","198,0","2850,0","145,0","19,0","0,5","1706,0","219,0","1,3","14,0","134,0",n.d.,"-9,0","-92,9","253,1"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT04,"51,3","5,9","271,0","2710,0","125,0","47,0","0,5","1700,0","214,0","2,0","13,0","140,0",n.d.,"-9,1","-90,0","251,4"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT05,"79,6","6,4","250,0","2900,0","130,0","45,0","0,5","1812,0","158,0","1,2","15,0","136,0",n.d.,"-9,0","-95,2","221,6"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT06,"77,3","6,2","253,0","2650,0","130,0","40,0","0,5","1585,0","177,0","1,4","13,0","139,0",n.d.,"-8,7","-93,8","241,3"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT07,"86,9","6,1","328,0","1684,0","71,0","57,0","1,2","1090,0","102,0","1,1","9,0","140,0",n.d.,"-11,4","-100,6","227,1"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT08,"84,0","7,0","210,0","2405,0","103,0","22,0","0,2","1694,0","188,0","1,5","12,0","150,0",n.d.,"-8,0","-96,8","240,8"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT09,"74,9","6,5","84,0","2277,0","71,0","70,0","3,0","1300,0","92,0","2,7","9,0","140,0",n.d.,"-10,4","-98,8","206,1"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT10,"81,8","6,9","167,0","3323,0","89,0","58,0","0,2","2170,0","207,0","2,8","15,0","138,0",n.d.,"-8,6","-93,8","228,6"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT11,"73,5","5,2","22,0","2496,0","219,0","69,0","0,2","1660,0","144,0","6,6","15,0","139,0",n.d.,"-5,4","-87,8","221,2"
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT12,"87,3","1,8","0,0","2444,0","119,0","64,0","0,4","1731,0","147,0","2,6","12,0","135,0",n.d.,"-7,9","-98,6","219,6"
El Tatio (Chile),Themal spring,El Tatio,ET01,"87,6","5,4","26,0","5100,0","30,0","177,0","1,0","2650,0","395,0","2,8","30,0",n.d.,n.d.,"-10,4","-98,8","266,3"
El Tatio (Chile),Themal spring,El Tatio,ET02,"87,9","6,5","89,0","4650,0","40,0","202,0","4,5","2575,0","152,0","0,4","26,0",n.d.,n.d.,"-7,9","-98,6","193,5"
El Tatio (Chile),Themal spring,El Tatio,ET03,"82,8","5,3","32,0","6500,0","61,0","267,0","2,1","3390,0","182,0","1,2","36,0","188,0",n.d.,"-3,1","-63,3","187,1"
El Tatio (Chile),Themal spring,El Tatio,ET04,"84,8","5,8","43,0","5400,0","170,0","204,0","1,5","3240,0","335,0","1,2","37,0","186,0",n.d.,"-5,8","-70,7","235,0"
El Tatio (Chile),Themal spring,El Tatio,ET05,"85,1","5,8","43,0","5400,0","170,0","204,0","1,5","3240,0","335,0","1,2","37,0","180,0",n.d.,"-5,8","-70,7","235,0"
El Tatio (Chile),Themal spring,El Tatio,ET06,"87,8","7,2","64,0","5750,0","42,5","215,0","0,7","3230,0","336,0","1,2","39,0","192,0",n.d.,"-5,4","-68,2","235,5"
Baños Las Calerías,Thermal spring,Tinguiririca,28,"61,0","6,3","830,0","3590,0","1620,0","730,0","39,0","2360,0","203,0",n.d,"10,0",n.d.,"9514,0",−13.3,"-106,0","220,0"
Termas del Flaco 1,Bubbling pool,Tinguiririca,32,"63,7","6,9","170,0","1801,0","288,0","139,0","45905,0","1182,0","128,0",n.d,"45903,0",n.d.,"3888,0",−12.2,−95.1,"238,0"
Termas del Flaco 2,Bubbling pool,Tinguiririca,33,"89,4","6,9","183,0","1652,0","287,0","135,0","45693,0","1135,0","119,0",n.d,"45720,0",n.d.,"3624,0",−11.5,−91.1,"240,0"
Termas de San Pedro,Thermal spring,El Maule,34,"24,0","7,1","564,0","8390,0","1177,0","768,0","25,0","3698,0","729,0",n.d,"45660,0",n.d.,"15,5",−13.3,−96.8,"290,0"
Barro Colorado 1,Thermal spring,El Tatio,39,"75,0","7,4","245,0","1244,0","106,0","80,0","45722,0","860,0","67,0",n.d,"45901,0",n.d.,"2767,0",−12.8,−94.4,"215,0"
Termas del Campanario 1,Bubbling pool,El Maule,49,"45,7","6,3","517,0","12,1","508,0","1925,0","85,0","5335,0","340,0",n.d,"17,0",n.d.,"20,9",−13.6,"-101,0","200,0"
El Tatio (Chile),Well,El Tatio,T1,"211,0","6,8","21,0","5820,0","47,0","196,0",n.d.,"3340,0","310,0",n.d.,"23,0","293,0",n.d.,"-6,0","-73,0",211
El Tatio (Chile),Well,El Tatio,T2,"227,0","6,8","35,0","6020,0","33,0","197,0",n.d.,"3430,0","431,0",n.d.,"28,0","298,0",n.d.,"-6,3","-78,0",227
El Tatio (Chile),Well,El Tatio,T3,"253,0","6,6","9,0","4490,0","44,0","198,0",n.d.,"2570,0","127,0",n.d.,"21,0","173,0",n.d.,"-6,8","-75,0",253
El Tatio (Chile),Well,El Tatio,T4,"220,0","6,7","59,0","5650,0","45,0","167,0",n.d.,"3430,0","148,0",n.d.,"20,0","246,0",n.d.,"-6,6","-77,0",229
El Tatio (Chile),Well,El Tatio,T5,"212,0","6,7","48,0","6690,0","34,0","219,0",n.d.,"3760,0","519,0",n.d.,"32,0","343,0",n.d.,"-5,6","-72,0",212
