name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM5,30.3,5.84,776.0,852.0,207.0,33.0,4.0,892.0,84.0,11.0,135.0,-10.2,-84.2,228.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM6,47.2,6.43,732.0,624.0,244.0,46.0,6.0,742.0,66.0,7.16,167.0,-9.7,-82.0,223.0
Rosario Coyaguayma 1,Thermal spring,Puna Plateau (N)-Pairique,RC1,59.8,6.74,1300.0,4020.0,463.0,183.0,33.0,3190.0,209.0,29.0,169.0,-3.2,-74.0,198.0
Rosario Coyaguayma 2,Thermal spring,Puna Plateau (N)-Pairique,RC2,58.6,6.7,1290.0,3670.0,399.0,163.0,31.0,3014.0,191.0,26.0,156.0,-3.5,-71.0,201.0
Rosario Coyaguayma 3,Thermal spring,Puna Plateau (N)-Pairique,RC3,62.4,6.64,1250.0,3930.0,430.0,181.0,32.0,3150.0,215.0,29.0,158.0,-2.9,-69.0,204.0
Pairique 1,Thermal spring,Puna Plateau (N)-Pairique,P1,44.2,7.1,643.0,345.0,126.0,11.0,5.0,499.0,9.1,0.49,109.0,-8.9,-61.0,121.0
Pairique 2,Thermal spring,Puna Plateau (N)-Pairique,P2,43.5,7.02,572.0,352.0,121.0,11.0,5.0,478.0,8.0,0.47,111.0,-9.5,-65.0,125.0
Mina Pirquitas 1,Thermal spring,Puna Plateau (N)-Pairique,MP1,22.0,6.32,2820.0,9030.0,431.0,364.0,137.0,5570.0,202.0,67.0,56.0,-1.4,-68.0,163.0
Mina Pirquitas 2,Thermal spring,Puna Plateau (N)-Pairique,MP2,16.7,6.46,3230.0,10100.0,427.0,373.0,155.0,6620.0,243.0,81.0,62.0,-1.3,-66.0,165.0
Mina Pirquitas 3,Creek,Puna Plateau (N)-Pairique,MP3,11.7,7.73,1970.0,6240.0,359.0,234.0,104.0,3930.0,152.0,54.0,57.0,-1.9,-72.0,167.0
Queñual 2,Thermal spring,Puna Plateau (N)-Pairique,Q2,50.5,7.62,1170.0,2310.0,131.0,118.0,29.0,1740.0,55.0,10.0,163.0,-8.5,-73.0,155.0
Queñual 3,Thermal spring,Puna Plateau (N)-Pairique,Q3,47.1,6.5,1240.0,3030.0,57.0,147.0,40.0,2260.0,99.0,15.0,169.0,-8.1,-74.0,165.0
Queñual 4,Thermal spring,Puna Plateau (N)-Pairique,Q4,45.6,6.68,1390.0,4070.0,30.0,210.0,55.0,2510.0,81.0,15.0,151.0,-7.8,-75.0,174.0
Baños de Pompeya,Thermal spring,Baños de Pompeya,POC-2,35.0,6.7,1240.0,1262.0,298.0,11.0,25.0,1350.0,128.0,13.0,46.0,-10.2,-82.0,224.5
Baños de Pompeya,Thermal spring,Baños de Pompeya,POC-1,50.0,6.5,1080.0,1364.0,251.0,8.9,24.0,1200.0,109.0,11.0,44.0,-10.4,-81.0,221.4
Baños de Pompeya,Thermal spring,Baños de Pompeya,POC-3,52.0,6.8,1220.0,1338.0,254.0,11.0,25.0,1187.0,111.0,12.0,44.0,-10.6,-81.0,220.8
