name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
El Tatio (Chile),Thermal spring,El Tatio,ET01,87.6,5.35,26.0,5100.0,30.0,177.0,1.0,2650.0,395.0,30.0,149.0,-10.37,-98.78,266.31
El Tatio (Chile),Thermal spring,El Tatio,ET02,87.9,6.48,89.0,4650.0,40.0,202.0,4.5,2575.0,152.0,26.0,149.0,-7.89,-98.56,193.46
El Tatio (Chile),Thermal spring,El Tatio,ET03,82.8,5.31,32.0,6500.0,61.0,267.0,2.1,3390.0,182.0,36.0,188.0,-3.12,-63.29,187.095
El Tatio (Chile),Thermal spring,El Tatio,ET04,84.8,5.84,43.0,5400.0,170.0,204.0,1.5,3240.0,335.0,37.0,186.0,-5.8,-70.73,234.984
El Tatio (Chile),Thermal spring,El Tatio,ET05,85.1,5.75,43.0,5400.0,170.0,204.0,1.5,3240.0,335.0,37.0,180.0,-5.8,-70.73,234.984
El Tatio (Chile),Thermal spring,El Tatio,ET06,87.8,7.2,64.0,5750.0,42.5,215.0,0.7,3230.0,336.0,39.0,192.0,-5.41,-68.19,235.474
Baños Las Calerías,Thermal spring,Tinguiririca,28,61.0,6.3,830.0,3590.0,1620.0,730.0,39.0,2360.0,203.0,10.0,149.0,-13.3,-106.0,220.0
Termas del Flaco 1,Bubbling pool,Tinguiririca,32,63.7,6.9,170.0,1801.0,288.0,139.0,5.9,1182.0,128.0,3.9,149.0,-12.2,-95.1,238.0
Termas del Flaco 2,Bubbling pool,Tinguiririca,33,89.4,6.9,183.0,1652.0,287.0,135.0,5.2,1135.0,119.0,4.3,149.0,-11.5,-91.1,240.0
Termas de San Pedro,Thermal spring,El Maule,34,24.0,7.1,564.0,8390.0,1177.0,768.0,25.0,3698.0,729.0,3.1,149.0,-13.3,-96.8,290.0
Barro Colorado 1,Thermal spring,El Tatio,39,75.0,7.4,245.0,1244.0,106.0,80.0,6.3,860.0,67.0,1.9,149.0,-12.8,-94.4,215.0
Termas del Campanario 1,Bubbling pool,El Maule,49,45.7,6.3,517.0,12.061,508.0,1925.0,85.0,5335.0,340.0,17.0,149.0,-13.6,-101.0,200.0
El Tatio (Chile),Well,El Tatio,T1,211.0,6.8,21.0,5820.0,47.0,196.0,3.7,3340.0,310.0,23.0,293.0,-6.0,-73.0,211.0
El Tatio (Chile),Well,El Tatio,T2,227.0,6.8,35.0,6020.0,33.0,197.0,3.7,3430.0,431.0,28.0,298.0,-6.3,-78.0,227.0
El Tatio (Chile),Well,El Tatio,T3,253.0,6.6,9.0,4490.0,44.0,198.0,3.7,2570.0,127.0,21.0,173.0,-6.8,-75.0,253.0
El Tatio (Chile),Well,El Tatio,T4,220.0,6.7,59.0,5650.0,45.0,167.0,3.7,3430.0,148.0,20.0,246.0,-6.6,-77.0,229.0
El Tatio (Chile),Well,El Tatio,T5,212.0,6.7,48.0,6690.0,34.0,219.0,3.7,3760.0,519.0,32.0,343.0,-5.6,-72.0,212.0
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-1,25.0,6.98,22.9,7160.0,24.7,206.0,0.042,4060.0,704.0,42.6,784.0,-9.41,-88.6,249.0
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-2,52.0,7.12,30.7,7100.0,28.9,192.0,0.027,4080.0,697.0,41.4,1330.0,-10.15,-91.8,250.0
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-3,124.0,4.32,2.0,7500.0,30.5,219.0,0.1,4310.0,720.0,44.5,619.0,-6.51,-82.1,247.0
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-4,67.0,6.14,18.533,7253.333,28.033,205.667,0.056,4150.0,707.0,42.833,911.0,-8.69,-87.5,245.0
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-5,67.0,6.14,18.533,7253.333,28.033,205.667,0.056,4150.0,707.0,42.833,911.0,-8.69,-87.5,248.0
Apacheta (Bolivia),Well,Sol de Mañana-Laguna Colorada,AP-1,67.0,6.14,18.533,7253.333,28.033,205.667,0.056,4150.0,707.0,42.833,911.0,-8.69,-87.5,245.0
