name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Baños Troncoso,Thermal spring,Laguna El Maule,TR,32.200,7.720,9.200,181.000,1482.000,589.300,0.820,128.000,2.490,483.000,28.000,,,192.000
Baños Campanario,Bubbling pool,Laguna El Maule,CA,52.600,6.020,501.300,10691.000,621.000,1809.000,80.100,5125.000,330.000,7023.000,76.000,,,120.000
Cajón Grande,Thermal spring,Laguna El Maule,CG,53.100,6.440,354.700,14114.000,1598.000,695.000,120.000,10250.000,156.000,1449.000,110.000,14.7,108.9,120.000
Guanaco,Thermal spring,Laguna El Maule,GU,29.200,6.800,263.100,3216.000,2288.000,578.000,73.900,2700.000,47.000,826.000,23.300,15.4,112.8,120.000
Planchón Peteroa,Thermal spring,Planchón Peteroa,17,24.000,6.950,564.400,8389.900,1177.200,767.900,25.000,3698.000,728.700,3.200,32.100,13.3,96.8,293.000
Planchón Peteroa,Thermal spring,Planchón Peteroa,36,54.500,6.780,518.000,11950.500,628.700,1818.000,98.300,5391.000,328.300,6.700,71.500,13.6,100.6,195.600
Planchón Peteroa,Thermal spring,Planchón Peteroa,39,33.700,9.440,5.500,53.100,151.500,29.800,0.030,57.300,1.300,0.100,30.000,9,58.6,136.900
El Tatio (Chile),Thermal spring,El Tatio,227,85.000,7.400,45.000,8220.000,38.000,280.000,,4600.000,520.000,47.000,256.000,5.5,69,227.000
El Tatio (Chile),Thermal spring,El Tatio,241,85.000,7.400,44.000,7870.000,26.000,278.000,,4320.000,525.000,45.000,280.000,5.7,68,231.000
El Tatio (Chile),Thermal spring,El Tatio,224,85.000,7.200,54.000,6890.000,35.000,244.000,,3860.000,445.000,40.000,207.000,6,68,226.000
El Tatio (Chile),Thermal spring,El Tatio,195,86.000,7.700,68.000,6280.000,29.000,239.000,,3440.000,360.000,34.000,125.000,6,66,218.000
El Tatio (Chile),Thermal spring,El Tatio,146,86.000,7.700,74.000,6190.000,35.000,249.000,,3500.000,306.000,35.000,126.000,6,65,206.000
El Tatio (Chile),Thermal spring,El Tatio,96,86.000,7.300,46.000,5840.000,46.000,248.000,,3460.000,170.000,32.000,180.000,6.2,66,174.000
El Tatio (Chile),Thermal spring,El Tatio,202,86.000,7.300,71.000,5630.000,37.000,218.000,,3140.000,336.000,33.000,137.000,6.2,65,218.000
El Tatio (Chile),Thermal spring,El Tatio,112,86.000,7.600,69.000,5560.000,35.000,236.000,,3200.000,235.000,30.000,130.000,6.1,68,195.000
El Tatio (Chile),Thermal spring,El Tatio,56,85.000,7.600,87.000,5380.000,46.000,232.000,,3060.000,150.000,27.000,207.000,6.1,64,172.000
