Eval_metrics,Desicion_tree_GS
R2 Score,0.7336044481483337
MSE,1168.7509084950568
MAE,23.276186147186152
MSLE,0.060923655097117155
MRSE,0.08835705871544076
Training time,0.21376585960388184
