,Desicion_tree_GS,Decision_tree_RS,Random_forest_RS,NN TensorFlow,XGBoost_RS,MLP Regressor,Decision_tree_Op,TabPFN Model,XGBoost_Op,Random_forest_Op
R2 Score,0.8309838992233861,0.81947379235661,0.7982903900475282,0.5827158297834283,0.938670839626508,0.5648527197644173,0.7276105917507945,0.8231110972770319,0.7681436064078994,0.810666075612761
MSE,1275.143631041557,1361.9817452587097,1521.800131874537,2978.118110214386,443.9573253054789,3282.972926294337,2055.04456377929,1334.540062589895,1749.242836905746,1428.4316506720463
MAE,19.41169815033452,19.31590909090909,21.44199745387761,36.556992790915736,14.247391700744627,0.1493631850486018,23.75363046044864,17.990992979569867,22.00373597578568,20.138862340169137
MSLE,0.1510261833428497,0.150607796151425,0.1257234203511989,0.1303491375157253,0.0278136345157615,37.11813313324688,0.1662870834831871,0.1015527010590778,0.1266991524853465,0.1259635573400182
MRSE,1.299840126187545,1.301672534434039,0.7565591623256709,0.2163384201056514,0.0388772460721929,0.2125455038579111,1.3510897363197747,0.3247136595529177,0.6997801531288025,0.783847102044044
Training time,0.2086284160614013,0.2520983219146728,11.322759628295898,44.8519721031189,43.204354763031006,26.83844327926636,0.9371991157531738,8.080769777297974,57.7018449306488,54.513585805892944
